STATION,DATE,PRCP,TMAX,TMIN
USC00041253,9/7/1981,0,29.4,13.9
USC00041253,9/8/1981,0,34.4,10
USC00041253,9/9/1981,0,37.2,11.7
USC00041253,9/10/1981,0,30.6,11.7
USC00041253,9/11/1981,0,32.8,11.1
USC00041253,9/12/1981,0,33.3,11.1
USC00041253,9/13/1981,0,31.1,11.1
USC00041253,9/14/1981,0,30.6,11.1
USC00041253,9/15/1981,0,31.7,11.1
USC00041253,9/16/1981,0,30,11.1
USC00041253,9/17/1981,0,31.7,11.1
USC00041253,9/18/1981,0,34.4,10.6
USC00041253,9/19/1981,0,34.4,11.1
USC00041253,9/20/1981,0,33.3,9.4
USC00041253,9/21/1981,0,34.4,10
USC00041253,9/22/1981,0,32.8,7.2
USC00041253,9/23/1981,0,35,7.8
USC00041253,9/24/1981,0,28.3,8.3
USC00041253,9/25/1981,0,26.7,8.3
USC00041253,9/26/1981,0,26.7,11.1
USC00041253,9/27/1981,0,29.4,7.8
USC00041253,9/28/1981,0,28.9,12.2
USC00041253,9/29/1981,0,28.3,10
USC00041253,9/30/1981,0,25.6,7.8
USC00041253,10/1/1981,1.3,25,6.7
USC00041253,10/2/1981,1.3,26.7,10
USC00041253,10/3/1981,0,26.7,12.8
USC00041253,10/4/1981,0.8,21.1,10.6
USC00041253,10/5/1981,0,22.8,5.6
USC00041253,10/6/1981,0,27.2,8.3
USC00041253,10/7/1981,0,31.1,7.8
USC00041253,10/8/1981,0,25.6,10.6
USC00041253,10/9/1981,0,27.2,6.1
USC00041253,10/10/1981,0,26.7,8.9
USC00041253,10/11/1981,0.5,23.9,10.6
USC00041253,10/12/1981,0,20,5
USC00041253,10/13/1981,0,20.6,4.4
USC00041253,10/14/1981,0,21.1,5
USC00041253,10/15/1981,0,21.7,4.4
USC00041253,10/16/1981,0,23.3,4.4
USC00041253,10/17/1981,0,25.6,4.4
USC00041253,10/18/1981,0,29.4,11.1
USC00041253,10/19/1981,0,32.2,13.3
USC00041253,10/20/1981,0,34.4,6.1
USC00041253,10/21/1981,0,31.7,5
USC00041253,10/22/1981,0,28.9,1.7
USC00041253,10/23/1981,0,32.2,7.2
USC00041253,10/24/1981,0,34.4,3.9
USC00041253,10/25/1981,0,29.4,8.3
USC00041253,10/26/1981,0,23.9,8.9
USC00041253,10/27/1981,0,17.2,7.8
USC00041253,10/28/1981,0,23.9,10.6
USC00041253,10/29/1981,7.9,18.9,7.8
USC00041253,10/30/1981,0,19.4,5.6
USC00041253,10/31/1981,0,24.4,7.8
USC00041253,11/1/1981,0,29.4,8.3
USC00041253,11/2/1981,0,31.1,11.1
USC00041253,11/3/1981,0,32.2,3.9
USC00041253,11/4/1981,0,26.7,6.7
USC00041253,11/5/1981,0,22.2,8.9
USC00041253,11/6/1981,1,16.7,8.9
USC00041253,11/7/1981,0,17.8,7.2
USC00041253,11/8/1981,0,25.6,10
USC00041253,11/9/1981,0,28.3,8.9
USC00041253,11/10/1981,0,26.1,5.6
USC00041253,11/11/1981,0,25,9.4
USC00041253,11/12/1981,0,26.1,8.9
USC00041253,11/13/1981,0,24.4,10.6
USC00041253,11/14/1981,2,18.9,13.9
USC00041253,11/15/1981,0,21.7,10.6
USC00041253,11/16/1981,0,24.4,12.8
USC00041253,11/17/1981,2,25,11.1
USC00041253,11/18/1981,0,20,4.4
USC00041253,11/19/1981,0,24.4,4.4
USC00041253,11/20/1981,0,25,3.3
USC00041253,11/21/1981,0,22.8,3.9
USC00041253,11/22/1981,0,20.6,7.2
USC00041253,11/23/1981,0,23.3,11.7
USC00041253,11/24/1981,0,22.2,10.6
USC00041253,11/25/1981,0,20,6.1
USC00041253,11/26/1981,0,18.3,3.3
USC00041253,11/27/1981,13.7,16.7,4.4
USC00041253,11/28/1981,13.2,14.4,6.1
USC00041253,11/29/1981,0,14.4,2.2
USC00041253,11/30/1981,0,16.1,1.7
USC00041253,12/1/1981,0,21.1,4.4
USC00041253,12/2/1981,0,21.7,3.9
USC00041253,12/3/1981,0,23.9,2.8
USC00041253,12/4/1981,0,25,7.8
USC00041253,12/5/1981,0,21.1,6.1
USC00041253,12/6/1981,0,24.4,2.8
USC00041253,12/7/1981,0,20.6,1.7
USC00041253,12/8/1981,0,24.4,7.2
USC00041253,12/9/1981,0,27.8,6.1
USC00041253,12/10/1981,0,23.9,7.2
USC00041253,12/11/1981,0,17.2,2.8
USC00041253,12/12/1981,0,18.9,2.8
USC00041253,12/13/1981,0,20,7.8
USC00041253,12/14/1981,0,20,6.7
USC00041253,12/15/1981,0,23.9,3.3
USC00041253,12/16/1981,0,21.7,3.9
USC00041253,12/17/1981,0,22.8,7.2
USC00041253,12/18/1981,0,25.6,7.8
USC00041253,12/19/1981,0,21.1,8.9
USC00041253,12/20/1981,0,23.9,9.4
USC00041253,12/21/1981,2.5,15,8.9
USC00041253,12/22/1981,0,16.7,5
USC00041253,12/23/1981,0,19.4,0.6
USC00041253,12/24/1981,0,18.3,0
USC00041253,12/25/1981,0,19.4,2.2
USC00041253,12/26/1981,0,21.7,3.3
USC00041253,12/27/1981,0,20,4.4
USC00041253,12/28/1981,0,17.8,1.1
USC00041253,12/29/1981,0,18.9,2.2
USC00041253,12/30/1981,13.7,18.9,5.6
USC00041253,12/31/1981,0.3,15,8.9
USC00041253,1/1/1982,5.6,12.2,7.8
USC00041253,1/2/1982,7.1,12.8,3.3
USC00041253,1/3/1982,1.5,10.6,-1.7
USC00041253,1/4/1982,0,13.3,2.8
USC00041253,1/5/1982,19.8,14.4,6.7
USC00041253,1/6/1982,0.3,14.4,2.2
USC00041253,1/7/1982,0,14.4,-2.2
USC00041253,1/8/1982,0,15,-2.2
USC00041253,1/9/1982,0,20,2.2
USC00041253,1/10/1982,0,24.4,7.8
USC00041253,1/11/1982,2,18.9,7.8
USC00041253,1/12/1982,0,20.6,2.2
USC00041253,1/13/1982,0,17.2,3.3
USC00041253,1/14/1982,0,20.6,4.4
USC00041253,1/15/1982,0,20.6,0
USC00041253,1/16/1982,0,22.2,3.9
USC00041253,1/17/1982,0,24.4,1.7
USC00041253,1/18/1982,0,22.8,7.2
USC00041253,1/19/1982,0,14.4,1.7
USC00041253,1/20/1982,20.3,14.4,3.9
USC00041253,1/21/1982,31.5,10.6,3.3
USC00041253,1/22/1982,0,9.4,-1.1
USC00041253,1/23/1982,0,12.8,-1.1
USC00041253,1/24/1982,0,17.8,2.8
USC00041253,1/25/1982,0,23.9,3.9
USC00041253,1/26/1982,0,23.3,4.4
USC00041253,1/27/1982,0.5,15.6,6.1
USC00041253,1/28/1982,1,14.4,3.3
USC00041253,1/29/1982,9.7,11.7,1.7
USC00041253,1/30/1982,0,19.4,0.6
USC00041253,1/31/1982,0,20.6,2.8
USC00041253,2/1/1982,0,23.9,7.8
USC00041253,2/2/1982,0,22.2,3.3
USC00041253,2/3/1982,0,21.1,4.4
USC00041253,2/4/1982,0,20,3.3
USC00041253,2/5/1982,0,16.7,2.8
USC00041253,2/6/1982,0,17.8,2.8
USC00041253,2/7/1982,0,18.3,5.6
USC00041253,2/8/1982,1,17.8,6.7
USC00041253,2/9/1982,0,15.6,3.9
USC00041253,2/10/1982,1,12.8,7.2
USC00041253,2/11/1982,8.1,13.3,3.3
USC00041253,2/12/1982,0,18.3,4.4
USC00041253,2/13/1982,0,18.3,5
USC00041253,2/14/1982,0,20,7.8
USC00041253,2/15/1982,0,20.6,12.2
USC00041253,2/16/1982,3.8,22.2,12.8
USC00041253,2/17/1982,0,21.1,9.4
USC00041253,2/18/1982,0,21.7,6.1
USC00041253,2/19/1982,0,24.4,5
USC00041253,2/20/1982,0,27.2,8.9
USC00041253,2/21/1982,0,28.3,9.4
USC00041253,2/22/1982,0,27.8,6.7
USC00041253,2/23/1982,0,21.7,7.2
USC00041253,2/24/1982,0,22.8,3.3
USC00041253,2/25/1982,0,20,5.6
USC00041253,2/26/1982,0,19.4,7.8
USC00041253,2/27/1982,0,15,3.3
USC00041253,2/28/1982,0,21.7,3.9
USC00041253,3/1/1982,0,23.3,6.1
USC00041253,3/2/1982,13,13.9,10.6
USC00041253,3/3/1982,1.3,16.7,3.3
USC00041253,3/4/1982,0,17.2,1.1
USC00041253,3/5/1982,0,20.6,1.1
USC00041253,3/6/1982,0,18.9,3.9
USC00041253,3/7/1982,0,22.8,7.2
USC00041253,3/8/1982,0,21.1,7.8
USC00041253,3/9/1982,0,21.7,7.2
USC00041253,3/10/1982,0,22.2,11.1
USC00041253,3/11/1982,7.1,20.6,11.1
USC00041253,3/12/1982,7.4,13.3,9.4
USC00041253,3/13/1982,0.3,20.6,6.1
USC00041253,3/14/1982,4.8,20.6,9.4
USC00041253,3/15/1982,6.4,15,6.7
USC00041253,3/16/1982,13,14.4,3.3
USC00041253,3/17/1982,32.8,13.3,4.4
USC00041253,3/18/1982,24.4,9.4,3.9
USC00041253,3/19/1982,4.6,12.2,0
USC00041253,3/20/1982,0,16.1,0
USC00041253,3/21/1982,0,18.3,0.6
USC00041253,3/22/1982,0,20,2.8
USC00041253,3/23/1982,0,22.2,3.3
USC00041253,3/24/1982,0,23.9,6.7
USC00041253,3/25/1982,0,20,4.4
USC00041253,3/26/1982,10.9,16.1,7.8
USC00041253,3/27/1982,0,16.1,10.6
USC00041253,3/28/1982,0,20.6,6.1
USC00041253,3/29/1982,6.9,12.8,3.3
USC00041253,3/30/1982,9.9,12.2,2.8
USC00041253,3/31/1982,0,16.7,6.7
USC00041253,4/1/1982,62.7,13.3,5.6
USC00041253,4/2/1982,6.4,12.8,0.6
USC00041253,4/3/1982,0,16.7,3.3
USC00041253,4/4/1982,0,17.8,7.2
USC00041253,4/5/1982,0,17.8,3.9
USC00041253,4/6/1982,0,17.2,3.9
USC00041253,4/7/1982,0,17.2,0.6
USC00041253,4/8/1982,0,17.8,3.3
USC00041253,4/9/1982,0,18.3,7.2
USC00041253,4/10/1982,1.5,21.1,12.8
USC00041253,4/11/1982,31.8,18.3,11.1
USC00041253,4/12/1982,7.4,17.8,8.3
USC00041253,4/13/1982,0,19.4,6.7
USC00041253,4/14/1982,0,20,6.7
USC00041253,4/15/1982,0,20,7.2
USC00041253,4/16/1982,0,18.3,2.8
USC00041253,4/17/1982,0,21.1,4.4
USC00041253,4/18/1982,0,22.8,5.6
USC00041253,4/19/1982,0,28.3,5
USC00041253,4/20/1982,0,28.9,9.4
USC00041253,4/21/1982,0,29.4,8.3
USC00041253,4/22/1982,0,28.3,6.7
USC00041253,4/23/1982,0,28.9,6.7
USC00041253,4/24/1982,0,27.8,5.6
USC00041253,4/25/1982,0,26.1,6.1
USC00041253,4/26/1982,0,22.8,9.4
USC00041253,4/27/1982,0,23.3,8.3
USC00041253,4/28/1982,0,25,8.3
USC00041253,4/29/1982,0,23.3,7.8
USC00041253,4/30/1982,0,25,8.3
USC00041253,5/1/1982,0,23.9,10.6
USC00041253,5/2/1982,0,22.8,8.9
USC00041253,5/3/1982,0,25,9.4
USC00041253,5/4/1982,0,25.6,12.8
USC00041253,5/5/1982,0,26.7,9.4
USC00041253,5/6/1982,0,23.3,12.8
USC00041253,5/7/1982,0,26.7,10.6
USC00041253,5/8/1982,0,23.3,10
USC00041253,5/9/1982,0,19.4,8.9
USC00041253,5/10/1982,0,13.3,7.2
USC00041253,5/11/1982,0,18.3,8.9
USC00041253,5/12/1982,0,21.7,8.3
USC00041253,5/13/1982,0,21.7,8.9
USC00041253,5/14/1982,0,23.9,9.4
USC00041253,5/15/1982,0,22.2,10
USC00041253,5/16/1982,0,23.3,7.8
USC00041253,5/17/1982,0,31.7,7.8
USC00041253,5/18/1982,0,27.2,6.1
USC00041253,5/19/1982,0,23.3,6.1
USC00041253,5/20/1982,0,27.8,7.2
USC00041253,5/21/1982,0,26.7,9.4
USC00041253,5/22/1982,0,22.2,9.4
USC00041253,5/23/1982,0,26.1,8.9
USC00041253,5/24/1982,0,28.9,10.6
USC00041253,5/25/1982,0,28.3,11.7
USC00041253,5/26/1982,0.3,23.9,12.8
USC00041253,5/27/1982,0,18.3,12.8
USC00041253,5/28/1982,0,20.6,11.7
USC00041253,5/29/1982,0,18.9,8.9
USC00041253,5/30/1982,0,22.2,9.4
USC00041253,5/31/1982,0,25,8.9
USC00041253,6/1/1982,0,22.8,8.9
USC00041253,6/2/1982,0,22.2,9.4
USC00041253,6/3/1982,0,21.1,8.9
USC00041253,6/4/1982,0,23.3,7.8
USC00041253,6/5/1982,0,22.8,8.3
USC00041253,6/6/1982,0,23.9,7.8
USC00041253,6/7/1982,0,23.9,7.2
USC00041253,6/8/1982,0,22.2,8.3
USC00041253,6/9/1982,0,25,8.3
USC00041253,6/10/1982,0,26.7,10.6
USC00041253,6/11/1982,0,33.9,11.1
USC00041253,6/12/1982,0,23.9,10
USC00041253,6/13/1982,0,23.9,10.6
USC00041253,6/14/1982,0,23.3,11.1
USC00041253,6/15/1982,0,27.2,10.6
USC00041253,6/16/1982,0,30,11.1
USC00041253,6/17/1982,0,27.2,12.2
USC00041253,6/18/1982,0,25.6,12.8
USC00041253,6/19/1982,0,23.9,13.9
USC00041253,6/20/1982,0,26.7,13.9
USC00041253,6/21/1982,0,26.7,12.8
USC00041253,6/22/1982,0,23.9,12.8
USC00041253,6/23/1982,0,26.7,12.2
USC00041253,6/24/1982,0,26.1,12.2
USC00041253,6/25/1982,0,28.3,11.7
USC00041253,6/26/1982,0,27.8,13.3
USC00041253,6/27/1982,0,31.1,14.4
USC00041253,6/28/1982,0,28.9,12.2
USC00041253,6/29/1982,0,22.2,13.3
USC00041253,6/30/1982,0.3,20.6,10
USC00041253,7/1/1982,0,25.6,12.2
USC00041253,7/2/1982,0,27.8,9.4
USC00041253,7/3/1982,0,28.9,11.1
USC00041253,7/4/1982,0,30,9.4
USC00041253,7/5/1982,0,27.8,8.3
USC00041253,7/6/1982,0,27.8,11.7
USC00041253,7/7/1982,0,31.1,9.4
USC00041253,7/8/1982,0,31.7,10.6
USC00041253,7/9/1982,0,29.4,10
USC00041253,7/10/1982,0,32.2,10.6
USC00041253,7/11/1982,0,32.8,10
USC00041253,7/12/1982,0,33.9,10.6
USC00041253,7/13/1982,0,33.9,10.6
USC00041253,7/14/1982,0,35,10.6
USC00041253,7/15/1982,0,31.1,11.1
USC00041253,7/16/1982,0,31.7,11.1
USC00041253,7/17/1982,0,28.3,9.4
USC00041253,7/18/1982,0,30.6,10
USC00041253,7/19/1982,0,31.1,9.4
USC00041253,7/20/1982,0,31.1,9.4
USC00041253,7/21/1982,0,33.9,10
USC00041253,7/22/1982,0,35,8.3
USC00041253,7/23/1982,0,36.7,10.6
USC00041253,7/24/1982,0,27.8,10.6
USC00041253,7/25/1982,0,32.2,10.6
USC00041253,7/26/1982,0,32.2,11.1
USC00041253,7/27/1982,0,34.4,11.1
USC00041253,7/28/1982,0,33.9,11.7
USC00041253,7/29/1982,0,35.6,12.2
USC00041253,7/30/1982,0,38.3,10.6
USC00041253,7/31/1982,0,38.3,11.7
USC00041253,8/1/1982,0,37.2,10
USC00041253,8/2/1982,0,33.3,8.9
USC00041253,8/3/1982,0,29.4,10.6
USC00041253,8/4/1982,0,28.3,9.4
USC00041253,8/5/1982,0,32.2,10
USC00041253,8/6/1982,0,37.2,11.1
USC00041253,8/7/1982,0,36.7,13.3
USC00041253,8/8/1982,0,37.8,10
USC00041253,8/9/1982,0,37.2,11.1
USC00041253,8/10/1982,0,31.7,10
USC00041253,8/11/1982,0,30,9.4
USC00041253,8/12/1982,0,31.1,11.1
USC00041253,8/13/1982,0,27.8,8.9
USC00041253,8/14/1982,0,27.8,9.4
USC00041253,8/15/1982,0,29.4,9.4
USC00041253,8/16/1982,0,32.8,8.9
USC00041253,8/17/1982,0,36.1,11.1
USC00041253,8/18/1982,0,35.6,11.1
USC00041253,8/19/1982,0,35,11.7
USC00041253,8/20/1982,0,33.9,11.7
USC00041253,8/21/1982,0,36.7,13.3
USC00041253,8/22/1982,0,40.6,11.7
USC00041253,8/23/1982,0,38.9,11.7
USC00041253,8/24/1982,0,32.8,12.2
USC00041253,8/25/1982,0,32.2,12.8
USC00041253,8/26/1982,0,30.6,11.7
USC00041253,8/27/1982,0,34.4,10.6
USC00041253,8/28/1982,0,36.7,15
USC00041253,8/29/1982,0,33.3,13.9
USC00041253,8/30/1982,0,30,10
USC00041253,8/31/1982,0,32.8,10.6
USC00041253,9/1/1982,0,34.4,11.7
USC00041253,9/2/1982,0,36.1,10.6
USC00041253,9/3/1982,0,39.4,11.1
USC00041253,9/4/1982,0,39.4,8.9
USC00041253,9/5/1982,0,35.6,10.6
USC00041253,9/6/1982,0,38.9,9.4
USC00041253,9/7/1982,0,37.2,11.1
USC00041253,9/8/1982,0,35,11.1
USC00041253,9/9/1982,3.6,35.6,15.6
USC00041253,9/10/1982,0.5,33.3,12.2
USC00041253,9/11/1982,0,26.7,10
USC00041253,9/12/1982,0,31.1,9.4
USC00041253,9/13/1982,0,30,13.3
USC00041253,9/14/1982,0,26.7,13.3
USC00041253,9/15/1982,0,21.7,16.1
USC00041253,9/16/1982,2,22.8,13.9
USC00041253,9/17/1982,0,20,14.4
USC00041253,9/18/1982,1,22.8,14.4
USC00041253,9/19/1982,0,28.3,8.9
USC00041253,9/20/1982,0,28.3,9.4
USC00041253,9/21/1982,0,32.2,11.7
USC00041253,9/22/1982,0,35,7.2
USC00041253,9/23/1982,0,34.4,10
USC00041253,9/24/1982,2,31.7,12.8
USC00041253,9/25/1982,0.3,32.2,17.2
USC00041253,9/26/1982,5.6,23.3,12.8
USC00041253,9/27/1982,0,22.2,11.7
USC00041253,9/28/1982,0,24.4,8.3
USC00041253,9/29/1982,0,25.6,10.6
USC00041253,9/30/1982,0,23.9,6.1
USC00041253,10/1/1982,0,25.6,6.7
USC00041253,10/2/1982,0,28.3,7.8
USC00041253,10/3/1982,0,32.2,5.6
USC00041253,10/4/1982,0,30,9.4
USC00041253,10/5/1982,0,25,7.2
USC00041253,10/6/1982,0,29.4,6.1
USC00041253,10/7/1982,0,29.4,6.7
USC00041253,10/8/1982,0,25.6,8.9
USC00041253,10/9/1982,0,31.1,11.7
USC00041253,10/10/1982,0,31.7,11.1
USC00041253,10/11/1982,0,31.1,11.1
USC00041253,10/12/1982,0,31.1,8.9
USC00041253,10/13/1982,0,30.6,11.1
USC00041253,10/14/1982,0,31.7,10
USC00041253,10/15/1982,0,32.2,5.6
USC00041253,10/16/1982,0,32.2,6.1
USC00041253,10/17/1982,0,30.6,8.3
USC00041253,10/18/1982,0,27.2,6.1
USC00041253,10/19/1982,0,27.8,6.1
USC00041253,10/20/1982,0,27.8,8.9
USC00041253,10/21/1982,0,27.8,10.6
USC00041253,10/22/1982,0,26.7,12.8
USC00041253,10/23/1982,0,33.3,12.2
USC00041253,10/24/1982,4.6,32.8,15
USC00041253,10/25/1982,0,26.7,13.3
USC00041253,10/26/1982,8.1,23.3,13.3
USC00041253,10/27/1982,0,20.6,6.1
USC00041253,10/28/1982,0,24.4,8.3
USC00041253,10/29/1982,0,26.1,6.7
USC00041253,10/30/1982,0.5,28.3,10
USC00041253,10/31/1982,10.7,16.7,9.4
USC00041253,11/1/1982,0,23.3,7.8
USC00041253,11/2/1982,0,26.7,5.6
USC00041253,11/3/1982,0,27.8,6.7
USC00041253,11/4/1982,0,28.9,8.3
USC00041253,11/5/1982,0,27.8,8.3
USC00041253,11/6/1982,0,28.3,8.3
USC00041253,11/7/1982,0,25.6,3.9
USC00041253,11/8/1982,0,21.1,7.2
USC00041253,11/9/1982,23.9,18.3,6.1
USC00041253,11/10/1982,40.9,13.3,5.6
USC00041253,11/11/1982,2.5,13.9,1.1
USC00041253,11/12/1982,0,17.2,3.3
USC00041253,11/13/1982,0,19.4,6.1
USC00041253,11/14/1982,0,21.7,5
USC00041253,11/15/1982,0,22.8,5.6
USC00041253,11/16/1982,0,22.8,8.3
USC00041253,11/17/1982,0,20.6,2.8
USC00041253,11/18/1982,0,20,8.9
USC00041253,11/19/1982,13.5,15,9.4
USC00041253,11/20/1982,0,17.8,3.3
USC00041253,11/21/1982,0,17.8,2.8
USC00041253,11/22/1982,0,18.3,6.1
USC00041253,11/23/1982,2.8,16.1,7.8
USC00041253,11/24/1982,1.5,16.1,7.8
USC00041253,11/25/1982,0,20.6,5.6
USC00041253,11/26/1982,0,23.3,7.8
USC00041253,11/27/1982,0,21.7,5
USC00041253,11/28/1982,0.5,20,9.4
USC00041253,11/29/1982,14.2,18.3,11.1
USC00041253,11/30/1982,36.3,17.2,10.6
USC00041253,12/1/1982,14.2,17.2,6.1
USC00041253,12/2/1982,0,12.2,2.8
USC00041253,12/3/1982,0,15,3.9
USC00041253,12/4/1982,0,20,2.8
USC00041253,12/5/1982,0,18.9,4.4
USC00041253,12/6/1982,0,22.2,5
USC00041253,12/7/1982,0,20,1.7
USC00041253,12/8/1982,0,16.7,1.7
USC00041253,12/9/1982,0,17.8,5
USC00041253,12/10/1982,0,20,5.6
USC00041253,12/11/1982,0,19.4,5
USC00041253,12/12/1982,0,20,2.8
USC00041253,12/13/1982,0,19.4,6.7
USC00041253,12/14/1982,0,17.2,-1.1
USC00041253,12/15/1982,0,18.9,1.1
USC00041253,12/16/1982,0,18.3,-0.6
USC00041253,12/17/1982,0,18.3,-0.6
USC00041253,12/18/1982,0,18.3,3.3
USC00041253,12/19/1982,0,19.4,2.8
USC00041253,12/20/1982,0,22.8,2.8
USC00041253,12/21/1982,0,21.1,3.9
USC00041253,12/22/1982,6.6,13.9,11.1
USC00041253,12/23/1982,50.3,15,6.1
USC00041253,12/24/1982,0,11.7,0.6
USC00041253,12/25/1982,0,12.2,-2.2
USC00041253,12/26/1982,0,15.6,1.7
USC00041253,12/27/1982,0,16.7,3.3
USC00041253,12/28/1982,0,17.8,6.7
USC00041253,12/29/1982,0,17.8,5.6
USC00041253,12/30/1982,0,16.7,-1.1
USC00041253,12/31/1982,0,15.6,1.7
USC00041253,1/1/1983,0,15.6,2.2
USC00041253,1/2/1983,0,17.2,0.6
USC00041253,1/3/1983,0,10.6,0
USC00041253,1/4/1983,0,20,1.7
USC00041253,1/5/1983,0,21.1,5.6
USC00041253,1/6/1983,0,23.9,5.6
USC00041253,1/7/1983,0,21.1,3.3
USC00041253,1/8/1983,0,23.3,4.4
USC00041253,1/9/1983,0,23.3,4.4
USC00041253,1/10/1983,0,24.4,4.4
USC00041253,1/11/1983,0,26.1,5.6
USC00041253,1/12/1983,0,26.7,6.1
USC00041253,1/13/1983,0,27.2,8.9
USC00041253,1/14/1983,0,26.7,8.3
USC00041253,1/15/1983,0,26.7,10
USC00041253,1/16/1983,0,25.6,10.6
USC00041253,1/17/1983,0,18.9,3.3
USC00041253,1/18/1983,0,18.9,3.9
USC00041253,1/19/1983,21.8,17.2,5.6
USC00041253,1/20/1983,0,14.4,2.2
USC00041253,1/21/1983,0,13.9,1.1
USC00041253,1/22/1983,4.1,12.2,6.7
USC00041253,1/23/1983,50.8,13.9,10
USC00041253,1/24/1983,27.9,17.2,12.2
USC00041253,1/25/1983,3.8,14.4,3.9
USC00041253,1/26/1983,0,18.3,6.7
USC00041253,1/27/1983,78.7,16.1,9.4
USC00041253,1/28/1983,10.4,12.8,5.6
USC00041253,1/29/1983,53.1,13.3,5
USC00041253,1/30/1983,0.3,15,3.9
USC00041253,1/31/1983,0,16.7,4.4
USC00041253,2/1/1983,0,17.2,4.4
USC00041253,2/2/1983,0,15,7.2
USC00041253,2/3/1983,5.1,13.9,2.8
USC00041253,2/4/1983,0,15.6,2.8
USC00041253,2/5/1983,0,16.1,5.6
USC00041253,2/6/1983,6.6,11.1,6.1
USC00041253,2/7/1983,2.3,11.7,8.9
USC00041253,2/8/1983,26.7,15,8.3
USC00041253,2/9/1983,0.3,15.6,3.9
USC00041253,2/10/1983,0,18.3,6.1
USC00041253,2/11/1983,0,20.6,6.7
USC00041253,2/12/1983,0,22.2,6.1
USC00041253,2/13/1983,18.3,18.9,7.8
USC00041253,2/14/1983,0,17.8,2.8
USC00041253,2/15/1983,0,21.1,5.6
USC00041253,2/16/1983,0,21.1,6.1
USC00041253,2/17/1983,0,20.6,3.9
USC00041253,2/18/1983,0.8,25.6,7.2
USC00041253,2/19/1983,1,16.1,4.4
USC00041253,2/20/1983,0,21.7,2.2
USC00041253,2/21/1983,0,21.7,5
USC00041253,2/22/1983,0,23.3,4.4
USC00041253,2/23/1983,0,23.9,7.2
USC00041253,2/24/1983,16.3,18.9,8.3
USC00041253,2/25/1983,0.3,14.4,3.9
USC00041253,2/26/1983,14.5,13.9,7.8
USC00041253,2/27/1983,31.5,17.8,9.4
USC00041253,2/28/1983,9.1,15,10.6
USC00041253,3/1/1983,117.3,15,11.7
USC00041253,3/2/1983,50.3,14.4,10
USC00041253,3/3/1983,45,14.4,8.9
USC00041253,3/4/1983,1.8,15.6,6.7
USC00041253,3/5/1983,1,16.7,7.8
USC00041253,3/6/1983,1.5,14.4,7.2
USC00041253,3/7/1983,2,19.4,8.9
USC00041253,3/8/1983,0,21.1,12.2
USC00041253,3/9/1983,0,22.8,10
USC00041253,3/10/1983,0,24.4,10.6
USC00041253,3/11/1983,0,21.7,11.1
USC00041253,3/12/1983,0,20.6,10
USC00041253,3/13/1983,0.3,21.1,10
USC00041253,3/14/1983,13.2,16.1,7.8
USC00041253,3/15/1983,0,18.3,7.2
USC00041253,3/16/1983,0,20,4.4
USC00041253,3/17/1983,4.6,18.3,6.1
USC00041253,3/18/1983,20.1,15,6.1
USC00041253,3/19/1983,11.4,13.9,4.4
USC00041253,3/20/1983,0,18.3,6.1
USC00041253,3/21/1983,27.4,14.4,5.6
USC00041253,3/22/1983,0,15.6,4.4
USC00041253,3/23/1983,8.1,12.2,4.4
USC00041253,3/24/1983,15.5,13.3,5
USC00041253,3/25/1983,6.6,12.2,3.3
USC00041253,3/26/1983,0,16.1,2.8
USC00041253,3/27/1983,0,18.3,6.7
USC00041253,3/28/1983,2,17.2,5.6
USC00041253,3/29/1983,0,18.9,4.4
USC00041253,3/30/1983,0,21.1,7.2
USC00041253,3/31/1983,0,23.9,9.4
USC00041253,4/1/1983,0,25,5.6
USC00041253,4/2/1983,0,26.1,7.2
USC00041253,4/3/1983,0,20.6,7.2
USC00041253,4/4/1983,0,17.8,3.3
USC00041253,4/5/1983,0,19.4,2.8
USC00041253,4/6/1983,0,17.2,3.3
USC00041253,4/7/1983,0,22.2,2.8
USC00041253,4/8/1983,0,22.2,3.9
USC00041253,4/9/1983,0,21.1,8.9
USC00041253,4/10/1983,0,18.3,7.8
USC00041253,4/11/1983,0,15,2.8
USC00041253,4/12/1983,3.8,15.6,2.2
USC00041253,4/13/1983,0.3,15,2.2
USC00041253,4/14/1983,0,18.9,1.1
USC00041253,4/15/1983,0,20,2.8
USC00041253,4/16/1983,0,21.1,4.4
USC00041253,4/17/1983,0,23.9,9.4
USC00041253,4/18/1983,60.5,17.2,10
USC00041253,4/19/1983,16.3,16.7,11.1
USC00041253,4/20/1983,26.9,16.7,10
USC00041253,4/21/1983,25.4,13.3,9.4
USC00041253,4/22/1983,0,18.3,9.4
USC00041253,4/23/1983,0,15,6.1
USC00041253,4/24/1983,0.8,17.2,9.4
USC00041253,4/25/1983,0,19.4,6.1
USC00041253,4/26/1983,0,19.4,6.7
USC00041253,4/27/1983,0,20.6,6.7
USC00041253,4/28/1983,6.9,18.9,8.9
USC00041253,4/29/1983,1,17.8,8.3
USC00041253,4/30/1983,4.3,18.3,8.3
USC00041253,5/1/1983,4.3,17.8,5.6
USC00041253,5/2/1983,6.4,17.2,6.1
USC00041253,5/3/1983,0,21.1,7.8
USC00041253,5/4/1983,0,23.9,8.9
USC00041253,5/5/1983,0,18.3,5
USC00041253,5/6/1983,0.3,19.4,7.8
USC00041253,5/7/1983,0,21.1,5
